,batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS,new_idx
0,0,가르시아,2018,LG,0.350,7,20,1,7,1,0,1,11,5,0,0,2,0,3,1,0.55,0.409,1,177cm/93kg,1985년 04월 12일,내야수(우투우타),쿠바 Ciego de Avila Maximo Gomez Baez(대),,0.959,가르시아2018
1,1,강경학,2011,한화,0.000,4,2,2,0,0,0,0,0,1,0,1,0,2,1,0,0.0,0.5,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.5,강경학2011
2,1,강경학,2014,한화,-,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,,강경학2014
3,1,강경학,2015,한화,0.130,10,23,3,3,0,0,0,3,1,3,0,4,1,9,0,0.13,0.286,2,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.416,강경학2015
4,1,강경학,2016,한화,0.188,14,32,4,6,1,1,0,9,2,1,2,0,1,10,0,0.281,0.212,0,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.493,강경학2016
5,1,강경학,2017,한화,0.222,11,36,10,8,0,0,2,14,4,0,0,3,0,10,0,0.389,0.282,1,180cm/72kg,1992년 08월 11일,내야수(우투좌타),광주대성초-광주동성중-광주동성고,10000만원,0.6709999999999999,강경학2017
6,2,강구성,2013,NC,0.000,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.0,강구성2013
7,2,강구성,2016,NC,0.000,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.5,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.5,강구성2016
8,2,강구성,2017,NC,1.000,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,2.0,강구성2017
9,3,강민국,2014,NC,0.000,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,0.0,강민국2014
10,3,강민국,2015,NC,0.100,9,10,2,1,1,0,0,2,0,0,0,0,0,4,0,0.2,0.1,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,0.3,강민국2015
11,3,강민국,2016,NC,0.316,16,19,2,6,2,1,0,10,0,0,0,2,0,4,0,0.526,0.381,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,0.907,강민국2016
12,4,강민호,2005,롯데,0.250,11,20,2,5,4,0,0,9,2,0,1,0,0,6,0,0.45,0.25,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.7,강민호2005
13,4,강민호,2006,롯데,0.381,9,21,6,8,1,1,2,17,7,0,0,1,0,5,1,0.81,0.391,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.2009999999999998,강민호2006
14,4,강민호,2007,롯데,0.136,10,22,2,3,0,0,0,3,2,0,0,0,1,6,1,0.136,0.174,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.31,강민호2007
15,4,강민호,2008,롯데,0.200,5,10,0,2,1,0,0,3,2,0,0,0,1,2,0,0.3,0.273,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.573,강민호2008
16,4,강민호,2009,롯데,0.167,2,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0.1669999999999999,0.1669999999999999,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.334,강민호2009
17,4,강민호,2010,롯데,0.261,10,23,8,6,1,0,4,19,8,0,0,5,1,3,0,0.826,0.414,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.24,강민호2010
18,4,강민호,2011,롯데,0.353,13,34,4,12,3,0,2,21,11,0,0,4,0,6,3,0.618,0.4,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.018,강민호2011
19,4,강민호,2012,롯데,0.273,5,11,2,3,0,0,0,3,1,0,1,0,0,2,0,0.273,0.273,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.546,강민호2012
20,4,강민호,2013,롯데,0.333,6,15,2,5,1,0,1,9,4,0,0,0,2,5,0,0.6,0.389,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.989,강민호2013
21,4,강민호,2014,롯데,0.100,8,10,1,1,0,0,0,1,0,0,0,6,1,3,1,0.1,0.471,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.5710000000000001,강민호2014
22,4,강민호,2015,롯데,0.158,10,19,1,3,0,0,1,6,3,0,0,0,0,3,0,0.316,0.158,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.474,강민호2015
23,4,강민호,2016,롯데,0.095,10,21,3,2,0,0,0,2,1,0,0,4,1,2,1,0.095,0.269,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.364,강민호2016
24,4,강민호,2017,롯데,0.300,10,20,1,6,0,0,0,6,0,0,0,1,0,4,1,0.3,0.333,1,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,0.633,강민호2017
25,4,강민호,2018,삼성,0.300,4,10,3,3,1,0,2,10,3,0,0,0,0,5,0,1.0,0.3,0,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1.3,강민호2018
26,5,강백호,2018,KT,0.333,6,18,2,6,1,0,0,7,3,0,0,4,0,5,0,0.389,0.455,0,184cm/98kg,1999년 07월 29일,외야수(우투좌타),부천북초-이수중-서울고,45000만원,0.8440000000000001,강백호2018
27,8,강상원,2017,한화,0.000,10,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0,172cm/64kg,1997년 05월 05일,외야수(우투좌타),온양온천초-온양중-북일고,3000만원,0.5,강상원2017
28,8,강상원,2018,한화,0.000,6,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,172cm/64kg,1997년 05월 05일,외야수(우투좌타),온양온천초-온양중-북일고,3000만원,0.0,강상원2018
29,9,강승호,2016,LG,0.250,13,32,1,8,0,2,0,12,3,2,0,2,1,10,2,0.375,0.314,3,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.6890000000000001,강승호2016
30,9,강승호,2017,LG,0.227,12,22,5,5,2,1,0,9,3,0,0,0,1,6,0,0.409,0.261,2,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.6699999999999999,강승호2017
31,9,강승호,2018,SK,0.222,6,18,1,4,1,0,1,8,3,0,0,1,0,5,1,0.444,0.263,0,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,20000만원,0.7070000000000001,강승호2018
32,11,강진성,2017,NC,0.000,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0,180cm/81kg,1993년 10월 19일,내야수(우투우타),가동초-잠신중-경기고-NC-경찰,7000만원,0.0,강진성2017
33,11,강진성,2018,NC,0.250,6,8,1,2,0,0,0,2,0,0,0,0,0,3,0,0.25,0.25,0,180cm/81kg,1993년 10월 19일,내야수(우투우타),가동초-잠신중-경기고-NC-경찰,7000만원,0.5,강진성2018
34,12,강한울,2014,KIA,0.207,12,29,5,6,2,0,1,11,3,0,1,1,0,7,0,0.379,0.233,1,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.612,강한울2014
35,12,강한울,2015,KIA,0.600,3,10,2,6,0,1,0,8,1,0,1,0,0,0,0,0.8,0.6,1,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,1.4,강한울2015
36,12,강한울,2017,삼성,0.222,10,18,2,4,1,0,0,5,1,1,0,0,0,1,0,0.278,0.222,0,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.5,강한울2017
37,12,강한울,2018,삼성,0.214,6,14,1,3,0,0,0,3,0,1,0,0,0,3,0,0.214,0.214,0,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,14000만원,0.428,강한울2018
38,18,고종욱,2011,넥센,0.263,12,19,4,5,0,1,0,7,2,0,0,1,0,5,0,0.368,0.3,1,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.6679999999999999,고종욱2011
39,18,고종욱,2015,넥센,0.125,10,8,4,1,0,1,0,3,0,2,0,0,0,2,0,0.375,0.125,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.5,고종욱2015
40,18,고종욱,2016,넥센,0.293,13,41,7,12,2,0,0,14,2,3,1,2,0,11,0,0.341,0.318,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.659,고종욱2016
41,18,고종욱,2017,넥센,0.438,11,32,5,14,3,0,0,17,6,2,0,1,0,5,0,0.531,0.455,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,0.986,고종욱2017
42,18,고종욱,2018,넥센,0.385,6,13,3,5,1,1,1,11,1,2,0,2,0,4,0,0.846,0.467,0,184cm/83kg,1989년 01월 11일,외야수(우투좌타),역삼초-대치중-경기고-한양대-넥센-상무,8000만원,1.3130000000000002,고종욱2018
43,19,구자욱,2015,삼성,0.293,12,41,8,12,1,1,2,21,7,2,2,3,0,9,1,0.512,0.341,0,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.853,구자욱2015
44,19,구자욱,2016,삼성,0.346,15,52,10,18,5,1,0,25,6,3,1,5,1,8,1,0.481,0.414,2,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.895,구자욱2016
45,19,구자욱,2017,삼성,0.294,12,34,3,10,1,2,0,15,2,1,0,3,0,7,0,0.441,0.342,0,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.7829999999999999,구자욱2017
46,19,구자욱,2018,삼성,0.250,6,12,2,3,0,0,0,3,1,0,0,1,1,5,0,0.25,0.357,0,189cm/75kg,1993년 02월 12일,외야수(우투좌타),본리초-경복중-대구고-삼성-상무,13000만원,0.607,구자욱2018
47,20,국해성,2012,두산,0.000,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,180cm/94kg,1989년 10월 08일,외야수(우투양타),군산중앙초-동인천중-인천고,,0.0,국해성2012
